image_idxs,accuracy,precision,specificity,sensibility,IoU,dice_coeff,f1_score
"[0, 1, 2]",0.923582,0.944153,0.803675,0.955514,0.904632,0.949778,0.867521
"[3, 4, 5]",0.876938,0.901001,0.668477,0.934825,0.847833,0.917488,0.761862
"[6, 7, 8]",0.958776,0.959478,0.379743,0.996992,0.956734,0.977843,0.504840
"[9, 10, 11]",0.925365,0.927591,0.586084,0.988546,0.917742,0.957096,0.718273
"[12, 13, 14]",0.944898,0.958782,0.576420,0.980369,0.940861,0.969433,0.714726
"[15, 16, 17]",0.877045,0.890821,0.667746,0.926476,0.834710,0.908125,0.751503
"[18, 19, 20]",0.958472,0.966655,0.743838,0.986787,0.954289,0.976567,0.839826
"[21, 22, 23]",0.565221,0.938074,0.592196,0.489018,0.465990,0.623366,0.598168
"[24, 25, 26]",0.866663,0.931240,0.177983,0.918663,0.852784,0.919621,0.212807
"[27, 28, 29]",0.852006,0.982441,0.925630,0.835340,0.823073,0.902938,0.953106
